ebay_id,ebay_name,ebay_path
38658,Air Dams,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Bumpers & Components|Air Dams
38659,"Sun Visors, Wind & Bug Deflectors","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Guards & Protection|Sun Visors, Wind & Bug Deflectors"
38728,Cruise Control Components,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Advanced Driver Assistance Systems|Cruise Control Components
38789,"Wiring, Harnesses & Connectors","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Towing Parts & Accessories|Wiring, Harnesses & Connectors"
38790,Other Towing Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Towing Parts & Accessories|Other Towing Parts
42604,Other Air & Fuel Delivery,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Other Air & Fuel Delivery
42605,Other Brake Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Other Brake Parts
42609,Other Steering & Suspension Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Other Steering & Suspension Parts
43946,Air Filter Housings,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Air Filter Housings
43951,Instrument & Gauge Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Gauges|Instrument & Gauge Parts
43961,Wheel Center Caps,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Wheels, Tires & Parts|Wheel Hub Caps, Center Caps & Trim Rings|Wheel Center Caps"
46094,Other Air Conditioning & Heating,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air Conditioning & Heating|Other Air Conditioning & Heating
46095,Engine Oil Coolers & Lines,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engine Cooling Components|Engine Oil Coolers & Lines
46096,Other Engine Cooling Components,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engine Cooling Components|Other Engine Cooling Components
46097,Other Exhaust & Emission Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Other Exhaust & Emission Parts
46101,Other Ignition Systems & Components,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Ignition Systems & Components|Other Ignition Systems & Components
46102,Sun Visors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Sun Visors
46103,Transmission Rebuild Kits,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Transmission Rebuild Kits
